Path:hsa00010 Glycolysis/Gluconeogenesis,Path:hsa00020 Citrate cycle (TCA cycle),Path:hsa00030 Pentose phosphate pathway,Path:hsa00051 Fructose and mannose metabolism,Path:hsa00052 Galactose metabolism,Path:hsa00071 Fatty acid degradation,Path:hsa00220 Arginine biosynthesis,Path:hsa00230 Purine metabolism,Path:hsa00240 Pyrimidine metabolism,Path:hsa00250 Alanine aspartate and glutamate metabolism,Path:hsa00260 Glycine serine and threonine metabolism,Path:hsa00270 Cysteine and methionine metabolism,Path:hsa00280 Valine leucine and isoleucine degradation,Path:hsa00310 Lysine degradation,Path:hsa00330 Arginine and proline metabolism,Path:hsa00340 Histidine metabolism,Path:hsa00350 Tyrosine metabolism,Path:hsa00380 Tryptophan metabolism,Path:hsa00410 beta-Alanine metabolism,Path:hsa00480 Glutathione metabolism,Path:hsa00510 N-Glycan biosynthesis,Path:hsa00512 Mucin type O-glycan biosynthesis,Path:hsa00513 Various types of N-glycan biosynthesis,Path:hsa00514 Other types of O-glycan biosynthesis,Path:hsa00520 Amino sugar and nucleotide sugar metabolism,Path:hsa00531 Glycosaminoglycan degradation,Path:hsa00532 Glycosaminoglycan biosynthesis-chondroitin sulfate/dermatan sulfate,Path:hsa00533 Glycosaminoglycan biosynthesis-keratan sulfate,Path:hsa00534 Glycosaminoglycan biosynthesis-heparan sulfate/heparin,Path:hsa00562 Inositol phosphate metabolism,Path:hsa00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Path:hsa00564 Glycerophospholipid metabolism,Path:hsa00590 Arachidonic acid metabolism,Path:hsa00600 Sphingolipid metabolism,Path:hsa00601 Glycosphingolipid biosynthesis-lacto and neolacto series,Path:hsa00620 Pyruvate metabolism,Path:hsa00630 Glyoxylate and dicarboxylate metabolism,Path:hsa00640 Propanoate metabolism,Path:hsa00650 Butanoate metabolism,Path:hsa00760 Nicotinate and nicotinamide metabolism,Path:hsa00790 Folate biosynthesis,Path:hsa00830 Retinol metabolism,Path:hsa00900 Terpenoid backbone biosynthesis,Path:hsa00980 Metabolism of xenobiotics by cytochrome P450,Path:hsa00982 Drug metabolism-cytochrome P450,Path:hsa00983 Drug metabolism-other enzymes,Path:hsa01040 Biosynthesis of unsaturated fatty acids,Path:hsa01100 Metabolic pathways,Path:hsa01200 Carbon metabolism,Path:hsa01210 2-Oxocarboxylic acid metabolism,Path:hsa01212 Fatty acid metabolism,Path:hsa01230 Biosynthesis of amino acids,Path:hsa01232 Nucleotide metabolism,Path:hsa01240 Biosynthesis of cofactors,Path:hsa01250 Biosynthesis of nucleotide sugars,Path:hsa01521 EGFR tyrosine kinase inhibitor resistance,Path:hsa01522 Endocrine resistance,Path:hsa01524 Platinum drug resistance,Path:hsa02010 ABC transporters,Path:hsa03008 Ribosome biogenesis in eukaryotes,Path:hsa03010 Ribosome,Path:hsa03013 Nucleocytoplasmic transport,Path:hsa03015 mRNA surveillance pathway,Path:hsa03022 Basal transcription factors
ADH1A,DLAT,FBP1,FBP1,AKR1B1,ECI2,CPS1,NME6,NME6,CPS1,SDSL,CDO1,HIBADH,PRDM7,HOGA1,UROC1,ADH1B,TPH2,DPYD,GSTO2,MAN1A2,B3GNT3,MAN1A2,POMT1,GNE,HGSNAT,B4GALT7,B3GNT2,B3GALT6,PIP5KL1,PIGU,LPCAT3,PTGES3,CERS1,B3GNT3,ME3,AFMID,DBT,ACSM2A,NAMPT,TPH2,DHRS9,ZMPSTE24,UGT2A1,UGT2A1,NME6,ACOT7,ADA,SDSL,GOT1L1,CPT1C,CBS,NME6,COQ7,NANP,BCL2L11,CDK4,CDKN1A,ABCB6,MPHOSPH10,MRPL3,SNUPN,ALYREF,TAF6L
ADH1B,DLD,PRPS1L1,ALDOA,GAA,CYP2U1,GOT1L1,PAICS,NT5C3B,GOT1L1,GLYCTK,AHCYL1,DBT,HYKK,L3HYPDH,AMDHD1,ADH1C,AFMID,DPYS,GGT6,MAN1B1,ST6GALNAC2,MAN1B1,GALNT6,CHIT1,HYAL4,CHST14,FUT8,EXT1,PIKFYVE,PIGN,CEPT1,CYP4F8,NEU3,ST3GAL6,ADH1A,GLYCTK,DLD,ABAT,NADK2,DHFR,UGT2B11,PMVK,GSTO2,GSTO2,UGT2B11,ACOT4,ACOT8,ADH5,CS,CPT1A,SDSL,NT5C3B,AKR1A1,TGDS,EGF,CDKN1A,CDKN2A,ABCC9,POP7,RPL35,ALYREF,SRRM1,GTF2A1L
ADH1C,DLST,ALDOA,ALDOB,GALE,ADH1A,NAGS,ADCY1,CANT1,ADSL,CTH,SDSL,DLD,SMYD1,CKB,ALDH2,ADH4,ACMSD,ECHS1,GSTA5,MGAT4A,GALNT6,MGAT4A,GALNT5,GNPDA2,GALNS,B3GALT6,B4GALT1,EXT2,INPP5F,GPLD1,CDS1,CYP2U1,DEGS2,B3GNT2,ADH1B,CS,ABAT,ECHS1,NT5C2,AKR1B1,UGT2A1,NUS1,ADH1A,ADH1A,UGT2A1,ACAA1,GNPDA1,GLYCTK,NAGS,CPT1B,CPS1,AK7,UGT2B11,GALE,EGFR,CDKN1B,GSTO2,ABCC4,EMG1,RPL10L,SRRM1,SAP18,TAF8
ADH4,FH,ALDOB,ALDOC,GALK1,ADH1B,GLS2,ADCY2,CMPK2,ABAT,DAO,GOT1L1,ABAT,DLD,CKM,ALDH3A1,ADH5,AANAT,EHHADH,G6PD,MGAT5B,GALNT5,DAD1,GALNT13,NANP,GLB1,CHST13,CHST6,EXTL1,SACM1L,PIGP,PEMT,PLA2G4E,ACER1,FUT9,ADH1C,DLD,ECHS1,EHHADH,NMNAT2,FPGS,ADH1A,FDPS,ADH1B,ADH1B,GSTO2,HSD17B4,GNE,CPS1,GOT1,CPT2,GOT1L1,CANT1,MTHFD2,GALK1,EIF4E,CDKN2A,ABCC2,ABCA7,NXF1,FAU,SAP18,NXF1,TAF1L
ADH5,IDH1,RPIA,AKR1B1,GALT,ADH1C,GLS,PDE10A,CTPS1,AGXT,DLD,LACC1,ECHS1,DLST,CKMT1B,ALDH1B1,ADH6,CYP1A1,ALDH2,GGT1,DAD1,GALNT13,DDOST,GALNT15,CYB5R3,GNS,CHSY1,ST3GAL1,EXTL2,PLCH1,PIGA,CDIPT,PTGR2,SGPP2,FUT1,ADH4,AGXT,EHHADH,GAD1,SIRT5,ALPI,ADH1B,FNTA,ADH1C,ADH1C,UPP2,FADS1,PIGK,GOT1L1,GOT2,ECHS1,CS,CMPK2,UGT2A1,GALK2,EIF4EBP1,CDKN2C,SLC31A1,ABCA10,NOP56,MRPL21,NXF1,HBS1L,ERCC2
ADH6,IDH2,ALDOC,TKFC,GANC,CPT1C,GLUD1,ADCY3,UPP2,FOLH1,SARDH,CTH,EHHADH,ECHS1,CKMT2,ALDH3B1,ADH7,CYP1A2,ALDH3A1,GGT7,DDOST,GALNT15,ALG14,XXYLT1,GALE,GUSB,B3GAT3,ST3GAL2,EXTL3,PLCB1,PIGC,LYPLA1,PLB1,SGMS2,FUT2,ADH5,GCSH,MLYCD,GAD2,SIRT4,ALPL,ADH1C,FNTB,ADH4,ADH4,CYP2A6,HACD4,COX17,CS,GPT,EHHADH,CTH,NUDT16,LIAS,GALT,ERBB2,CARM1,ERBB2,ABCA9,RPP30,RPL13A,IPO8,CPSF4,ERCC3
GALM,IDH3A,G6PD,GMDS,GCK,ADH4,GLUL,ADCY5,DCK,GAD1,AGXT,LDHAL6A,ACSF3,EHHADH,GOT1L1,ALDH3B2,COMT,CYP1B1,ALDH1B1,GGT5,DPAGT1,GALNTL5,STT3B,GALNTL5,GALK1,HEXA,DSE,ST3GAL3,HS3ST5,PIP5K1C,PIGF,AGPAT2,CYP2B6,CERS3,FUT3,ADH6,GLDC,HIBCH,HADHA,SIRT3,ALPP,ADH4,ICMT,ADH5,ADH5,CYP2A7,ACOX1,NAMPT,DLAT,IDH1,ACSF3,NAGS,ADK,AK7,GCK,ERBB3,DLL3,ERCC1,ABCA8,RPP38,RPL36,IPO7,PAPOLA,TAF5L
ADH7,IDH3B,PGLS,GMPPB,B4GALT1,ADH5,GOT1,NUDT5,DCTD,GAD2,ALAS1,DNMT1,ALDH2,MECOM,DAO,ALDH9A1,GOT1L1,DDC,ALDH3B1,OPLAH,ALG14,B3GNT6,FUT8,COLGALT2,GALK2,HEXB,CHSY3,CHST1,GLCE,IPMK,PIGH,PNPLA6,CYP2C8,KDSR,FUT4,ADH7,AMT,HADHA,HMGCL,SIRT1,GCH1,ADH5,PDSS1,ADH6,ADH6,CYP3A4,HSD17B12,AASS,DLD,IDH2,ACSL1,ENO1,LACC1,EARS2,GFPT1,AKT1,ADCY1,AKT1,CFTR,TBL3,MRPL13,NUP50,RNPS1,GTF2A1
LDHAL6A,IDH3G,IDNK,GMPPA,GLA,ADH6,GOT2,ADCY6,DHODH,IL4I1,ALAS2,DNMT3A,ALDH1B1,EZH1,ALDH2,ALDH3A2,DBH,IDO2,ALDH3B2,GCLC,STT3B,ST6GALNAC3,B4GALT1,POFUT2,GALT,HYAL1,CHST11,B4GALT4,B3GAT3,INPP5J,PIGG,CHAT,CYP2C9,CERS6,FUT5,ACOT12,GLUL,ACACB,HMGCS1,QPRT,MOCS1,ADH6,HMGCR,ADH7,ADH7,DPYD,HACD3,DHRS9,DLST,IDH3A,ACSL3,ENO2,CTPS1,AFMID,GMDS,AKT2,ADCY2,AKT2,ABCB8,POP4,MRPL15,RNPS1,NUDT21,GTF2A2
